ID,City or FUA,Region,Name (short English title),Native language title,Short description of the intervention,Website of the intervention,Climate-related ambition and performance ,Land surface temperature,Carbon storage,Stormwater holding capacity,Biodiversity-related ambition and performance,Coastal habitat,Green/Blue Area Fraction,Protected Area,Social justice-related ambition and performance, Inclusiveness of project beneficiaries,Population access,Recreation potential,"Alignment of NBS Targets with Climate, Biodiversity, and Social Objectives ",Diversity of stakeholder involvement,Long-term perspective,Potential for high-quality project result delivery,Climate,Biodiversity,Social Justice,Transformative Potential
55,Dublin (FUA),Europe,Native Tree Trail at St. Anne's Park,NA,"Ireland’s native trees have developed over thousands of years, forming a vibrant ecosystem alongside surrounding plants, animals, fungi, and microbes. These trees provide critical habitats for plants and wildlife, offering essential food and shelter while producing oxygen vital to animals and humans alike. Historically, native trees supplied early Irish communities with fuel, food, shelter, and building materials. Today, they play a modern role in filtering dust, reducing pollution, and enriching urban spaces.
To highlight these benefits in Dublin, the Native Tree Trail in St. Anne's Park was created by DCC Parks and Landscape Services in 2008. This trail, featuring 15 different types of native trees, invites visitors to explore and appreciate the natural and cultural heritage of Ireland's native trees, underscoring the value of green spaces for both biodiversity and community well-being.
Strategic tree placement contributes to Dublin’s sustainability by reducing soil erosion, sequestering carbon, and mitigating urban heat. A green city is a healthy city, and preserving open spaces enhances its appeal as a place to live, work, and visit. The trail also plays an essential role in environmental education and community engagement. Over the years, St. Anne's Park has hosted multiple tree-planting events, including a 2019 collaboration with local schools for National Tree Week and National Tree Day, in partnership with the Tree Council of Ireland. The NGO has also offered family-friendly guided walks along the trail, helping to instill an appreciation for nature in visitors of all ages (1, 2, 3, 4, 5, p.93).",https://www.dublincity.ie/residential/parks/nature-and-biodiversity-dublin/native-tree-trails,2,3,3,4,4,1,4,NA,1,3,3,3,3,2,2,1,12,9,10,8
56,Mobile (FUA),Northern America,Taylor Park Community Garden,NA,"The Taylor Park Community Garden is part of the After School Tutorial Program and is managed by the Methodist Inner City Mission. Located in the Maysville and Oakdale areas of Mobile, Alabama, the garden primarily serves children from these communities. After receiving homework assistance, students from elementary and middle schools participate in the Gardening Program, where volunteers teach various gardening concepts and engage the children in hands-on activities. 
Taylor Park Community Garden is part of a network of community gardeners and urban farmers across the city called Mobile Urban Growers, which aims to increase access to fresh produce for everyone to contribute to tackling the high rate of diabetes (Mobile has one of the highest rates of diabetes in the United States) and food desert in Mobile (over 25% of Mobilians live in a food desert as defined by the USDA without access to fresh fruits or vegetables) (Ref 2).  Taylor Park became part of the Mobile Urban Growers (MUG) after it began its operations around 2016 (Ref 2). The garden is open to the entire community, with Mobile Urban Growers and Mobile County Master Gardeners (a volunteer recruitment program) providing support and guidance. 
The produce harvested is shared among gardeners, participating children, local residents, and the Food Pantry at Central Presbyterian Church. (Ref 1)",https://www.mobileurbangrowers.org/new-page,1,1,2,3,1,0,3,1,4,2,2,1,2,1,1,2,7,5,9,6
57,Berlin (FUA),Europe,Living wall,Begrünte Fassade in Kreuzberg,"The project features a  vertical garden, or ""living wall,"" on the facade of a residential building in Berlin’s Kreuzberg district. Constructed in 2016, the building replaced a WWII-damaged plot situated between two existing structures. With a strong emphasis on sustainability, the project minimizes its ecological footprint in various ways. The 660-square-meter plot retained original elements of the location’s history: the two surviving sections along Glogauer and Reichenberger Strasse were restored after the war, while the rubble from the destroyed corner was used to fill in the basement. This approach allowed the new construction to be built over the original foundations, preserving historical integrity while reducing construction costs and material use.
At the core of the building’s design is a green agenda, embodied in the vertical garden that helps absorb noise and pollution from the bustling street below, improving air quality for residents and passersby. The selection of winter-hardy plants ensures that the facade remains green year-round, while also cooling the surrounding area and mitigating the urban heat effect, which is especially valuable in densely populated neighborhoods. The greenery contributes to the local microclimate, providing both environmental and aesthetic benefits.
For residents, the garden is made accessible through rectangular box balconies that project from the green wall, allowing them to engage closely with the plants and enjoy the immersive garden atmosphere. The plants grow on a support structure that is securely anchored in the brickwork, receiving water and nutrients through an integrated, precision-controlled irrigation and fertilization system. Maintenance of the plants occurs twice a year, with new additions planted each spring to maintain the garden’s health and visual appeal.
The building itself, privately owned, contains a mix of holiday rentals and residential apartments. Architect Sarah Revière designed the project. (1-6)",https://www.sarahrivierearchitect.com/de/architektur-urbanes-wohnhaus-mit-begruenter-fassade-berlin-kreuzberg-deutschland.html,2,1,4,2,2,0,1,1,2,1,3,1,3,2,1,2,9,4,7,8
59,Birmingham (FUA),Europe,Eastside City Park in Birmingham,NA,"As an industrial city under climate change, Birmingham has been confronted with multiple environmental risks such as air pollution, fluctuating precipitation and flooding (Ref 3). The Big City Plan is a 20-year city center regeneration plan to support Birmingham’s sustainable transformation, where the delivery of the Eastside City Park was prioritized (Ref 1, 2). Completed and opened to public in 2013, this first new park in Birmingham for 130 years is a linear site which connects the city center along the frontage of Millennium Point eastwards towards the Digbeth canal. (Ref 1, 4, 5). Providing 2.73 ha of urban green spaces, the multi-award winning development features more than 300 trees, a 110 meter canal water feature and a public square with 21 jet fountains, and offers “a moment of green in a journey through the city” (Ref 1, 6).",https://www.birmingham.gov.uk/eastsidepark,2,2,1,3,4,0,3,1,3,4,3,1,2,4,2,3,8,8,11,11
60,Phoenix (FUA),Northern America,"Tres Rios, Arizona Ecosystem Restoration Project",NA,"The Tres Rios Ecosystem Restoration Project is an ambitious initiative aimed at revitalizing a seven-mile stretch of the Salt and Gila Rivers in Phoenix, Arizona. The Tres Rios Environmental Restoration project involves the rehabilitation of nearly 700 acres in and around the Salt River, restoring a vital wetland and riparian habitat. Initially conceived in 1993 to tackle water quality issues and improve flood control, the project gained significant traction in the 2000s through a partnership between the City of Phoenix and the U.S. Army Corps of Engineers (USACE). Funding was structured with 65 percent from the USACE and 35 percent from the City of Phoenix and the Sub-Regional Operating Group Members, including Scottsdale, Tempe, Glendale, and Mesa.
The Tres Rios project encompasses habitat restoration, flood control, and recreational development, with the primary objectives being to restore a degraded ecosystem, enhance water quality, and provide new recreational spaces. Construction involved relocating 1.6 million cubic yards of earth to shape three large wetland zones and two deep-water retention basins. Additionally, 18,000 feet of underground water lines and 600 feet of 84-inch fiberglass effluent pipelines were installed. To establish a thriving wetland habitat, the project coordinated the planting of over 300,000 aquatic and terrestrial plants.
Habitat restoration efforts re-establish native vegetation and create wetland areas that support local biodiversity. The lush and scenic Tres Rios is now home to more than 150 different species of birds and animals like muskrats, raccoons, skunks, coyotes, bobcats, and beavers. By using treated wastewater to sustain the ecosystem, the project reduces dependency on natural water sources, thereby helping to mitigate water scarcity. The Tres Rios Ecosystem Restoration Project serves as a model for sustainable urban ecological initiatives, combining environmental health with community benefits. (1-8, 10-13)",https://www.phoenix.gov/waterservices/tresrios,4,4,2,4,4,0,4,1,4,4,2,4,3,2,3,4,14,9,14,12
61,Cartagena (FUA),Latin America and the Caribbean,Recovery plan of the Juan Angola Channel,Plan de recuperación del caño Juan Angola,"The Juan Angola River is an urban channel included in the system of rivers and channels of Cartagena, and it connects the Ciénaga de la Virgen wetland and the Bay of Cartagena, facing similar issues as the Cienaga de la Virgen such as illegal occupation of its shores, illegal waste dumping, deforestation of mangroves, and pollution. The recovery plan for the Juan Angola River is led by the EPA Cartagena (Environmental Protection Agency), with the support of other institutions, aiming to restore the Juan Angola’s ecosystem. This includes targeting the mangrove forest, dredging the natural channel, and delineating buffer zones with urban infrastructure to create public recreational spaces. The activities involve relocating people illegalling cupping informal settlements from the river shore, moving an existing bridge (the Benjamín Herrera bridge) which obstructs the current, recovering the low tide and riverbed areas, building pedestrian paths, clean the riverbank, recover mangrove areas and establish programs of education and environmental awareness (ref 1 and 2).",https://epacartagena.gov.co/web/epa-presenta-propuesta-del-plan-de-recuperacion-integral-del-cano-juan-angola-sector-la-union/,2,1,2,4,4,1,3,1,3,4,4,3,2,3,2,3,9,9,14,10
62,Göteborg (FUA),Europe,The Jubilee Park,Jubileumsparken,"The ""Jubilee Park"" (Jubileumsparken) is a city park in the developing area of Frihamnen in central Gothenburg. The first part of the park finished construction in 2024, but the aim is that the park will continue to grow and develop until the year 2035 [Ref. 1-2, 5]. The park is said to be the result of the wishes of the people of Gothenburg to have better access to green areas and water before the city's 400-year jubilee in 2023 [Ref. 2]. To achieve this, the park has been constructed gradually in cooperation with residents, using a method called placemaking, where activities and amenities are tested in place to get feedback from residents before being made permanent [Ref. 2, 4]. Additionally, activities in the park are being run by a youth organisations, which also offers summer jobs to young people from across the city and aims to engage marginalised groups [Ref. 1, 6]. The park provides amenities a sculpture-based playground, an outdoor classroom, places to sit and a harbour bath at the edge of the park, with outdoor pools and a sauna. The park contains elements for biodiversity such as trees, meadows and an area for urban farming, increasing biodiversity and connectivity compared to the previous land use as a harbour [Ref. 1, 2, 9].",https://goteborg2023.com/jubileumsprojekt/jubileumsparken/,1,1,3,3,3,1,2,1,4,3,3,2,3,3,2,3,8,7,12,11
63,Phoenix (FUA),Northern America,Civic Space Park,NA,"Civic Space Park, located in the heart of Phoenix, Arizona, is a notable example of urban design aimed at addressing the region’s increasing urban heat. In Phoenix, rising temperatures affect health, safety, comfort, and economic growth, and this impact is expected to worsen over time. In response, the park was developed to transform an underused site into a vibrant public space that prioritizes community engagement, sustainability, and urban revitalization.
The project was realized through a public-private partnership between the City of Phoenix and Arizona State University, with strong community involvement shaping its development. This collaboration led to the “Urban Weave” concept, a design that embodies the identity and values of the local community.
Civic Space Park was designed with several goals in mind. Increasing the tree canopy was essential to help reduce the urban heat island effect and improve air quality. Creating a welcoming area for social interaction, recreation, and relaxation was equally important to enhance community well-being. Water conservation was also prioritized, achieved through innovative stormwater management techniques such as permeable paving and underground infiltration. The park incorporates renewable energy generation as well, with on-site solar power helping to reduce energy consumption.
One of the park’s unique features is its extensive use of pervious concrete paving, designed to allow stormwater to permeate directly into the subsurface. However, during installation, it became clear that placing the material over highly compacted soil limited water infiltration. To improve its effectiveness, future designs could include a plastic vapor barrier beneath the permeable paving to capture water and direct it to planting beds. This adjustment would enable the paving to act as a collection and storage system, gradually releasing water into the surrounding vegetation.
(1-6)",https://www.phoenix.gov/parks/parks/alphabetical/c-parks/civic-space,4,1,1,3,4,0,3,1,4,3,2,3,3,4,2,4,9,8,12,13
64,Lisboa (FUA),Europe,Neighborhood remodelling for improved safety for women,Segurança da mulher no espaço público,"The pilot project in Bairro Padre Cruz, Carnide, Lisbon, is a groundbreaking initiative aimed at enhancing women's safety in public spaces and improving access to public transport. Launched in June 2024, this project stems from extensive consultations with local women to address their specific security concerns (Ref1). It involves strategic interventions like better lighting and the relocation of bus stops to safer areas, ensuring a more secure environment for women (Ref4). A key element of the project is the greening of the area through tree planting and the creation of more harmonised public spaces, contributing to a more pleasant and welcoming neighbourhood (Ref2). Funded by the Recovery and Resilience Plan (RRP), this initiative aims to foster greater inclusivity and safety in urban design, with completion expected by 2025 (Ref4).",https://www.ateliermob.com/noticias/projecto-piloto-no-bairro-padre-cruz,1,1,2,3,2,0,3,1,2,3,3,2,2,2,1,3,7,6,10,8
66,Fort-de-France (FUA),Latin America and the Caribbean,Martinican Marine  Natural Park,Parc Naturel Marin de Martinique,"The Martinican Marine Natural Park (MMNP) was established in 2018 to protect key marine habitats, including coral reefs, mangroves, seagrass beds, and open waters. These areas are home to important species like sea turtles, dolphins, and tropical fish. The park’s conservation efforts focus on addressing threats from human activities such as pollution and overfishing. It also collaborates with ocean-related industries, such as tourism and fishing, by recommending, funding, or conducting research aimed at promoting more sustainable practices within the MMNP.

To support its work, the park operates a growing fleet of boats that raise public awareness, resolve conflicts, and enforce the protection of designated areas. The MMNP spans an area of 47,340 km², extending from Martinique's coast to the boundary of the French Exclusive Economic Zone. The park's management board, which includes diverse stakeholders, must be consulted for advice on development activities that impact the marine environment. Their goal is to balance competing interests within the region.

The park receives funding from the French Office for Biodiversity (OBF) to carry out initiatives that protect the marine environment, promote sustainability, and raise public awareness. Notable efforts include creating or restoring habitats for species such as sea turtles and sea urchins, managing invasive species like sargassum algae, restoring coral reefs, and training resource users such as whale-watching companies and diving clubs. Other initiatives include reducing plastic pollution through clean-ups, supporting sustainable fishing practices (e.g., artisanal coastal fishing), installing eco-friendly moorings, funding Marine Educational Areas (MEAs), and sponsoring cultural events that promote marine conservation (Ref 1; 2; 3).",https://parc-marin-martinique.fr/,1,NA,NA,NA,4,NA,NA,NA,2,2,NA,NA,3,4,3,2,1,4,4,12
67,Göteborg (FUA),Europe,Urban farming in Higab properties,NA,"The municipal real estate company Higab partnered with The Foodprint Lab Architects, an architecture firm specialising in food system design, in a three-year pilot project to create urban farms in three of their properties in Gothenburg. The Foodprint Lab designed the urban farms based on the conditions of each property and connected Higab with potential farmers. The urban farms are located at Slakthuset (an old industrial area), Kviberg (by an empty building undergoing renovation) and Musikens hus (an old building used for music events and a restaurant). The farms are established in unused, mostly grey areas such as parking lots. In all sites, the farming is run by local farming associations; some sell vegetables on site and in Kviberg, there has also been a commercial production of vegetables. Sustainable food production, entrepreneurship opportunities, a nicer and safer environment, and the promotion of biodiversity are highlighted as benefits of the project. In total, about 50 different plant species are found across the locations. The establishment of the urban farms was part of the Grow Gothenburg project within the Sharing Cities Sweden program, which provided some of the funding [Ref. 1-5, 7].",https://www.higab.se/nyhetsarkiv/pressmeddelande-nya-stadsodlingar-vid-higabs-hus/,4,1,1,2,3,1,2,1,4,3,4,1,3,3,2,4,8,7,12,12
68,Birmingham (FUA),Europe,River corridor restoration: Love Your River Stour,NA,"Sourced from Northern Worcestershire, the River Stour has played a significant role in the industrial heritage of Birmingham and the Black Country (Ref 1).  It consists of 11 Water Framework Directive water bodies and multiple tributaries, spanning 200 km in length (Ref 2, 3). Once a pristine Salmonid river that powered the Industrial Revolution, rapid industrialization severely impacted the river, leaving it heavily polluted with sewage (ibid.).
Initiated by the Birmingham and Black Country Wildlife Trust (BBCWT) in 2021, the Love Your River Stour (LYRS) project focuses on Dudley and Wolverhampton, aiming to transform the River Stour and its surrounding green spaces into a beautiful, wildlife-rich source of pride for local communities and to create a corridor for wildlife to thrive through the heart of the Black Country (Ref 4).
Phase 1 of the project was completed in June 2023, bringing significant improvements along the river (Ref 5, 6, 7, 8). In Phase 2, the project will extend to a stretch running through Cradley Heath and Lye (Ref 7, 8). This initiative is funded by the UK Government's Green Recovery Challenge Fund.",https://www.bbcwildlife.org.uk/LoveYourRiverStour,1,3,4,3,4,0,3,3,4,3,4,4,3,2,3,4,11,10,15,12
69,Iaşi (FUA),Europe,New Trees in Frumoasa,Frumoasa a devenit mai verde,"In 2021, the real estate company Inamstro, in collaboration with the Municipality of Iași, the civil organization ""Glasul Vieții"" (Voice of Life), and local citizens, initiated a tree-planting initiative that involved planting 250 trees near a residential area and a parking lot in the Frumoasa neighborhood of Iași. This neighborhood is smaller compared to other areas of the city and was developed during the communist systematization of the 1970s and 1980s. It consists of groups of four-story blocks arranged around common spaces, situated near the Frumoasa Monastery complex.
The main goals of the 2021 planting action were to enhance green space, lower air temperatures, reduce urban air pollutants—such as fine particulate matter—absorb CO2, and improve overall health and quality of life (1–5). Additionally, the implementing company concluded that the trees planted near residential areas can significantly reduce energy needs for air conditioning and heating, leading to an average cost decrease of 30% during summer and winter (1, 2).
Volunteers participating in the project received a ""tree certificate,"" signifying their commitment to planting and adopting a tree (7). In this initiative, volunteers were also tasked with monitoring the growth of their adopted trees to ensure their health (1–6).",https://apix.ro/cartierul-frumoasa-din-iasi-a-devenit-mai-verde-cu-250-arbori-p/,2,1,1,2,3,0,1,1,4,1,3,1,3,3,2,4,6,5,9,12
71,Göteborg (FUA),Europe,Gårda pilot rain garden,NA,"The Gårda pilot rain garden has been constructed as part of the research project Innovative Rain Gardens at Chalmers University of Technology in Gothenburg. In addition to causing flooding, runoff rain water in urban environments can be contaminated with microplastics, organic pollutants and metals which can spread into the natural environment. Yet, most of the storm water in urban environments is not treated. The purpose of the Innovative Rain Gardens project is to research the ability of a pilot rain garden to treat such pollution. The project acknowledges the function of a rain garden to prevent flooding, but in this study only the pollution treatment potential is investigated. The pilot rain garden was constructed next to the E6 highway in central Gothenburg [Ref. 1-4]. It includes several different bioretention filters where selected plants are grown in filters containing different materials such as biochar, ash and soil [Ref. 2, 3]. Results so far show that the use of rain gardens can significantly reduce pollution. However, further research is needed to determine the long term function of the bioretention filters and the potential of scaling up the NBS. The project is funded by the Swedish Research Council for Sustainable Development (Formas), IMMERSE - Implementing Measures for Sustainable Estuaries, an Interreg project supported by the North Sea Programme of the European Regional Development Fund of the European Union, and COWIfonden (private foundation) [Ref. 1-3].",https://www.chalmers.se/projekt/raingardens/om-projektet/,2,1,3,2,1,0,1,1,1,2,3,1,2,3,2,1,8,3,7,8
72,Fort-de-France (FUA),Latin America and the Caribbean,Slowing down the erosion of the 'Salines' beach,Ralentir l'érosion de la plage des 'Salines',"Salines Beach, a popular destination for over a million visitors annually (Ref 9), is facing severe erosion due to rising sea levels and poor coastal management. Since 1995, the beach has lost more than 20 meters in width. This loss has been worsened by vehicle traffic and the introduction of coconut trees in the 1950s, which reduced the native root systems that once helped to stabilize the coast (Ref 5). Now, the encroaching sea threatens to swallow the road that runs along the beach.
In response, the Salines Conservation Committee—comprised of concerned community members and environmental groups—has been advocating for urgent action to halt the erosion. They have called for a renaturalization of the area through the replanting of endemic species and restrictions on car traffic, both aimed at restoring the beach’s natural resilience.
When part of the road collapsed in July 2022, the committee took immediate action, organizing community-based interventions. These efforts included blocking traffic, raising public awareness, and planting over 60 endemic plants in the damaged area. The aim was to reestablish a root network capable of anchoring the coastline and capturing shifting sands (Ref 1; 2). The intervention was described as ""a response to the urgent need to rebuild the root network, an ecological engineering solution recognized as the most effective method for retaining beach sand and slowing coastal erosion"" (Ref 2; 1). The intervention on this section of the coast was first completed, then discarded by the municipality of Sainte-Anne (Ref 2). Regional and National agencies are currently undertaking the restoration  works but it is unclear the stage of completion (See Ref 3).",https://la1ere.francetvinfo.fr/martinique/nouvelle-operation-de-renaturation-sur-la-plage-des-salines-a-saint-anne-1333612.html,2,NA,NA,NA,2,NA,NA,NA,3,2,NA,NA,3,2,1,2,2,2,5,8
73,Detroit (FUA),Northern America,Detroit RiverWalk Project,NA,"The Detroit RiverWalk is an urban development project along the Detroit River, designed to reconnect residents with their waterfront and revitalize a historically industrial area. Once characterized by abandoned buildings and industrial debris, the riverfront between the MacArthur and Ambassador Bridges had long been inaccessible to the public. To address this, the Detroit Riverfront Conservancy was established in 2003 to lead the redevelopment of this space.
The RiverWalk currently stretches along a 3.5-mile section, with plans to expand to 5.5 miles, integrating ecological restoration, public access, and recreational opportunities. The esplanade features native landscaping, artistic elements, and amenities, including four pavilions, a custom carousel, and areas for fishing, walking, biking, and inline skating.
Environmental remediation has been a crucial part of the project. In collaboration with the U.S. Environmental Protection Agency’s Great Lakes National Program Office, the Detroit Riverfront Conservancy successfully cleaned up 13,000 cubic yards of contaminated sediment, significantly reducing pollution and contributing to the removal of the Detroit River from the list of the most polluted sites in the Great Lakes. Furthermore, the project also includes greenways, park creation and revitalization.
The RiverWalk is not just a public space; it symbolizes Detroit’s transformation from a Rust Belt city to a sustainable urban environment. It exemplifies the power of public-private partnerships in revitalizing urban areas. The RiverWalk continues to expand, with plans to connect various parks and extend to the Ambassador Bridge, further enhancing the city’s waterfront. Its success was recognized in 2021 when it was named the Best Riverwalk in America by USA Today, cementing its status as a model for urban renewal and community engagement. (Ref. 1, 2, 3, 4)",https://www.smithgroup.com/projects/detroit-riverwalk,2,1,3,3,4,0,3,1,4,2,3,3,4,3,4,4,9,8,12,15
74,Berlin (FUA),Europe,Vertical Wetlands,Vertikale Feuchtgebiete,"Bound by miles of steel, concrete, or brick walls, Berlin’s rivers and artificial canals often look alike. Plastic bottles, along with ducks, swans, and perhaps the occasional coot seeking scraps from humans, are some of the few visible signs of life. Underwater, the scene is similarly sparse and monotonous, with only a handful of resilient species able to endure the harsh conditions.
In response to this lack of biodiversity, researchers from the Leibniz Institute for Freshwater Ecology and Inland Fisheries in Berlin collaborated with the engineering firm Wite to create the Vertical Wetland project. This initiative introduced plant boxes that attach to sheet piling along canal walls, extending into the water to form miniature habitats. These boxes serve as refuges for insects, birds, fish, and other small animals, offering hiding spots and sheltered spaces for egg-laying among the roots and boxes protruding into the water. Known as ""ecological stepping stones,"" vertical wetlands enable animals to rest and safely traverse urban waterways, fostering biodiversity along urban riverbanks. 
Vertical wetlands present a quick and cost-effective way to ecologically upgrade sections of urban waterways. Although they can’t fully replace natural riverside habitats, these mini-habitats offer substantial ecological benefits. Native river floodplain plants, including willows, reeds, rushes, and shallow-water species like irises and marsh marigolds, provide the foundation of these structures. All materials used are environmentally friendly and biodegradable. 
By covering the grey, industrial surfaces of riversides, the vegetation cools the local environment, both on land and in the water, and helps improve water quality. Plant shading cools water, reducing eutrophication risks and creating a healthier habitat for aquatic life.
The Vertical Wetland project’s pilot installation was successfully implemented and tested in 2023 in the Berlin-Spandau Ship Canal. (1, 3, 6)",https://www.igb-berlin.de/news/vertikale-feuchtgebiete-oekologische-trittsteine-fuer-urbane-gewaesser,4,1,1,2,4,0,2,1,1,1,3,2,3,3,3,4,8,7,7,13
75,Lisboa (FUA),Europe,Redevelopment of the Marechal Humberto Delgado Square,Requalificação da Praça Marechal Humberto Delgado,"The renovation of the ""Marechal Humberto Delgado"" Square focused on transforming the area into a more pedestrian-friendly and sustainable urban space. The project included reorganising the traffic system, creating a new urban green square, requalifying the bus terminal, enhancing the integration of different transport modes and improving pedestrian access (Ref 1). Key features of the intervention were the introduction of cycle paths, wider sidewalks, green spaces with 200 new trees, and recreational facilities such as a children's playground and water features (Ref 2). The project also addressed critical infrastructural needs, including constructing a rainwater collector as part of Lisbon's General Drainage Plan to mitigate the city's frequent flooding issues (Ref 3). The renovation, completed in 2024, was part of the 'A Square in Every Neighborhood' program, emphasizing community involvement and sustainable urban development (Ref 3).",https://informacoeseservicos.lisboa.pt/servicos/informacao-de-obras/praca-marechal-humberto-delgado-sete-rios,2,1,3,3,2,0,3,1,2,3,3,3,3,2,1,2,9,6,11,8
76,Iaşi (FUA),Europe,Rehabilitation of the Ciurchi Park,Amenajare si Modernizare Parc Ciurchi,"The project aims to modernize Ciurchi Park, also known as ""Tătărași Park,"" due to the degraded state of its current infrastructure (1 - 8). Initiated by the Municipality of Iași, the initiative seeks furthermore to increase the amount of green space per inhabitant in the city and reduce overcrowding in other parks, thereby diversifying options for citizens (1 - 9). Planning for the project began in 2022, and the bidding process for its execution was released in April 2024, which is still awaiting a decision (1, 2. 7).
The implementation is expected to involve interventions in existing green spaces, including the planting of 120 trees, 1,000 bushes, and approximately 2,000 species of flowers and ornamental plants. The project will also feature a monitoring program for tree species, management of existing vegetation to protect healthy trees, and removal of invasive or degraded plants (1, 2, 4, 8). Additionally, it will include benches, facilities for physical exercise, an underground waste collector, and a rainwater drainage system, among other infrastructure improvements (1 to 8).
The project is expected to be financed by the local budget and EU funds, with a total estimated cost exceeding 5,000,000 euros, including taxes (2, 4). It is included in the Integrated Urban Development Strategy 2015-2030 for the city (8, p. 12).
The goals of the project are to modernize the park, improve accessibility for citizens in the surrounding area, minimize management costs for the municipality, ensure a sustainable habitat for flora and fauna with minimal invasive interventions, and harmonize architectural proposals with the landscape (6, 8, p. 32). Other objectives include protecting biodiversity, enhancing the park’s aesthetics and the overall city environment, and reducing CO2 emissions, which will ultimately improve the quality of life for surrounding residents (8, p. 141).",https://www.primaria-iasi.ro/dm_iasi/hotarari.nsf/70D90FAFC39DA166C22588BE002F3CF4/$FILE/HCL%20318%2031%2008%202022.pdf?Open,2,3,4,3,2,0,3,1,2,3,3,3,4,2,4,3,12,6,11,13
78,Dublin (FUA),Europe,GLAS Community Garden in Blanchardstown,NA,"A community garden opened in 2023 on the Technological University (TU) Dublin Blanchardstown campus. This environmental education and social inclusion project is a collaborative effort involving Fingal County Council, Global Action Plan Ireland, TU Dublin, and the local community. It provides a space for local groups and schools to grow fresh produce, reconnect with nature, and foster a stronger sense of community.
Rooted in a successful template developed by Global Action Plan in Ballymun, this initiative promotes social and cultural inclusion alongside environmental education. The Green Living & Sustainability Community Garden (GLAS) aims to create an inclusive environment that welcomes individuals of all ages, abilities, and backgrounds. More than a site for cultivating plants, flowers, and vegetables, the garden serves as a hub for fostering social connections, enhancing well-being, and offering valuable educational opportunities.
The garden provides individuals with the chance to engage in social horticulture, exploring the connections between food, health, biodiversity, and global issues such as climate change. It operates on organic and regenerative principles, with all tasks and harvests shared by volunteers. Additionally, the garden will support youth gardening projects and public workshops on topics such as growing food, composting, water harvesting, and waste management. Beyond its environmental benefits, the garden helps people connect with one another, positively impacting social, physical, and mental well-being.",https://www.tudublin.ie/explore/about-the-university/sustainability/about/news-and-events/glas-at-tu-dublin-community-garden-celebrates-one-year-engaging-communities.php,1,1,3,2,1,0,2,1,2,2,2,1,2,4,2,2,7,4,7,10
79,Cartagena (FUA),Latin America and the Caribbean,Mangrove Spirit Park,Parque Espíritu del Manglar,"The ""Parque Espíritu del Manglar"" in Cartagena is a multi-zone public space designed to promote recreation, environmental awareness, and cultural identity. The park, which has undergone a significant reconstruction, offers a wide array of recreational equipment and spaces for contemplation in a natural setting. It is divided into six thematic zones: Entrance Zone; Sports Area,  Open-Air Theatre, the Tertulia Island, offering scenic views, public restrooms, and statues such as the iconic ""Macondo"" tree, a tribute donated by Gabriel García Márquez’s family; Children’s Central Zone, featuring a pirate-themed mangrove ship and an Environmental Observation Deck.  (ref 1). 
With the reopening of the park, EPA Cartagena introduced an ecological trail on Tertulia Island, where a mangrove restoration process has been carried out, focusing on plant health and climate resilience. This area also hosts wildlife such as macaws, sloths, turtles, raccoons, and green herons—species that cannot be reintroduced into their natural habitats. (ref 2) 
The park now serves as an active site for environmental education, particularly for children, with programs addressing solid waste separation, climate change, and the protection of natural resources. Its reopening has also been recognized as a key step in strengthening family-oriented tourism and promoting sustainable urban development in Cartagena. (ref 2)",https://www.facebook.com/espiritudelmanglar/,1,1,4,4,4,1,3,1,1,3,4,2,2,2,1,1,10,9,10,6
80,Belgrade (FUA),Europe,"Green Corridor ""Lazaro Cardenas"" in New Belgrade","Rekonstrukcija novobeogradskog šetališta ""Lazaro Kardenas""","Named after the former Mexican president Lázaro Cárdenas, this green corridor project stretches over 4,5 km throughout one of the most densely populated areas in Belgrade. It was first built in the 1970s, connecting the building blocks 45, 44 and 70 of Novi Beograd, but has deteriorated since then (Ref. 4,9). Given the fact that close to 40.000 people live in the area which its highly vulnerable to climate change, action was taken to fully reconstruct the corridor for the benefit of local and surrounding residents (Ref. 3,4). 
The project was implemented in three phases, according to the three blocks adjacent to the construction site starting in 2019. During the third implementation phase in 2022, however, major delays occurred due to disagreements with the local neighbourhood association ""Common Action Block 70 and 70a"", which demanded to be taken into consideration in the project's design (Ref. 2,5). Despite some cooperation between the responsible authority (Greenery Belgrade) and the association, demands could not be met (Ref. 5). In the end, the project was carried out as originally planned by the authorities, with a delay of approximately one year. Ultimately, the green corridor provides ample amenities for sports (bicycle lanes, basketball courts, playgrounds, etc.) and recreational activities (benches, chess area) as well as low-barrier infrastructure for all age groups (Ref. 9).
The project was initiated by President Aleksandar Vučić and supported by the current mayor of Belgrade, Šapić, who both have roots in the district (Ref. 4,6).",https://beogradskiizlet.com/tour/setaliste-lazaro-kardenas/,2,NA,2,3,4,0,3,1,4,3,4,3,3,2,1,3,7,8,14,9
